,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size,win,side,localized_name,my_hero_rating
0,5276633973,131,False,2281,5,0,48,2020-03-05 19:35:27,21.0,4,1,7,1.0,0,5.0,1,Dire,Luna,3
15,5276593755,131,False,1888,4,0,4,2020-03-05 18:55:12,21.0,12,2,10,1.0,0,5.0,1,Dire,Bloodseeker,3
25,5275038518,131,True,3806,4,0,113,2020-03-04 19:52:17,21.0,8,6,12,1.0,0,4.0,0,Dire,Arc Warden,3
34,5274978088,2,False,2773,4,0,110,2020-03-04 18:56:38,21.0,3,7,8,1.0,0,5.0,0,Radiant,Phoenix,1
60,5273366450,0,True,4613,4,0,94,2020-03-03 19:04:22,21.0,10,5,25,,0,5.0,1,Radiant,Medusa,3
79,5273307860,0,False,2247,22,0,51,2020-03-03 18:14:22,21.0,1,7,3,1.0,0,5.0,0,Radiant,Clockwerk,1
91,5271708812,4,True,3342,22,0,3,2020-03-02 18:26:33,21.0,5,3,20,,0,5.0,1,Radiant,Bane,5
150,5271647888,129,False,2368,22,0,64,2020-03-02 17:28:31,21.0,4,3,16,1.0,0,5.0,1,Dire,Jakiro,3
170,5270163557,2,True,3180,3,0,87,2020-03-01 20:09:00,21.0,6,11,22,,0,4.0,1,Radiant,Disruptor,5
186,5270095407,131,False,3137,4,0,65,2020-03-01 19:06:20,21.0,2,6,29,1.0,0,4.0,1,Dire,Batrider,5
193,5268253585,129,False,2296,4,0,9,2020-02-29 21:49:10,21.0,5,1,21,1.0,0,4.0,1,Dire,Mirana,3
214,5268183653,130,False,3068,4,0,100,2020-02-29 20:40:03,21.0,7,7,17,,0,3.0,1,Dire,Tusk,1
221,5268144752,132,True,1407,4,0,30,2020-02-29 20:05:18,21.0,0,3,4,1.0,0,4.0,0,Dire,Witch Doctor,5
252,5266042743,4,True,3093,4,0,35,2020-02-28 17:44:00,21.0,17,4,17,1.0,0,3.0,1,Radiant,Sniper,3
275,5264575232,130,True,3164,4,0,83,2020-02-27 19:28:24,21.0,3,10,19,1.0,0,4.0,0,Dire,Treant Protector,2
293,5264508175,2,False,3097,22,0,37,2020-02-27 18:25:39,21.0,0,7,8,1.0,0,5.0,0,Radiant,Warlock,2
312,5263042714,131,True,2704,4,0,69,2020-02-26 20:14:04,21.0,4,10,13,1.0,0,3.0,0,Dire,Doom,1
326,5262981872,1,False,3226,22,0,25,2020-02-26 19:07:22,21.0,3,10,10,1.0,0,5.0,0,Radiant,Lina,5
348,5262927977,129,False,2042,22,0,7,2020-02-26 18:17:19,21.0,4,2,21,,0,5.0,1,Dire,Earthshaker,2
253,5259783768,130,False,3110,3,0,35,2020-02-24 20:13:54,21.0,13,5,11,,0,4.0,1,Dire,Sniper,3
374,5259719613,2,False,2630,5,0,75,2020-02-24 19:13:04,21.0,4,7,5,1.0,0,4.0,0,Radiant,Silencer,3
399,5259669394,2,False,1910,5,0,57,2020-02-24 18:29:31,21.0,4,5,1,1.0,0,4.0,0,Radiant,Omniknight,1
419,5259611139,130,False,2174,4,0,62,2020-02-24 17:43:21,21.0,9,5,25,1.0,0,4.0,1,Dire,Bounty Hunter,3
447,5256164094,128,True,2099,3,0,90,2020-02-22 20:58:05,21.0,1,5,9,2.0,0,4.0,0,Dire,Keeper of the Light,5
470,5256116228,132,True,2131,4,0,10,2020-02-22 20:12:58,21.0,4,7,5,1.0,0,5.0,0,Dire,Morphling,3
482,5251100314,129,True,3451,3,0,22,2020-02-19 22:05:12,21.0,3,7,20,1.0,0,2.0,0,Dire,Zeus,4
502,5250990176,2,True,2275,4,0,96,2020-02-19 19:30:36,21.0,2,0,7,,0,3.0,1,Radiant,Centaur Warrunner,2
541,5250923895,1,True,3035,4,0,14,2020-02-19 18:24:35,21.0,7,4,13,1.0,0,4.0,1,Radiant,Pudge,2
542,5244747708,129,False,1648,5,0,14,2020-02-15 20:43:33,21.0,6,2,10,1.0,0,5.0,1,Dire,Pudge,2
562,5244704419,1,False,1933,4,0,86,2020-02-15 20:02:40,21.0,4,8,8,1.0,0,5.0,0,Radiant,Rubick,5
503,5244644562,1,True,2436,3,0,96,2020-02-15 19:10:32,21.0,2,4,21,1.0,0,3.0,1,Radiant,Centaur Warrunner,2
591,5241364625,1,False,1865,4,0,72,2020-02-13 19:05:39,21.0,1,6,4,1.0,0,3.0,0,Radiant,Gyrocopter,5
602,5239861921,132,True,3485,4,0,53,2020-02-12 19:38:11,21.0,7,6,18,1.0,0,4.0,0,Dire,Nature's Prophet,5
619,5239817317,132,True,1951,4,0,67,2020-02-12 18:55:42,21.0,0,5,10,1.0,0,4.0,0,Dire,Spectre,3
26,5239769797,2,False,2055,5,0,113,2020-02-12 18:12:59,21.0,13,4,7,1.0,0,4.0,0,Radiant,Arc Warden,3
652,5238265554,2,True,4140,3,0,59,2020-02-11 19:10:07,21.0,8,8,19,,0,4.0,1,Radiant,Huskar,1
656,5238201855,2,True,2832,4,0,36,2020-02-11 18:08:59,21.0,8,5,11,1.0,0,4.0,1,Radiant,Necrophos,3
483,5236747825,3,True,2297,5,0,22,2020-02-10 19:27:16,21.0,11,4,24,1.0,0,3.0,1,Radiant,Zeus,4
563,5236693552,129,True,2643,4,0,86,2020-02-10 18:35:06,21.0,5,4,8,1.0,0,5.0,0,Dire,Rubick,5
669,5235273697,130,False,4147,5,0,114,2020-02-09 20:59:07,21.0,4,5,25,,0,4.0,1,Dire,Monkey King,3
215,5235211413,1,False,3289,5,0,100,2020-02-09 19:54:21,21.0,5,7,10,1.0,0,4.0,0,Radiant,Tusk,1
680,5235171190,3,True,1735,5,0,70,2020-02-09 19:16:49,21.0,10,1,10,1.0,0,5.0,1,Radiant,Ursa,3
691,5235124067,0,False,1883,4,0,101,2020-02-09 18:35:38,21.0,1,10,10,1.0,0,5.0,0,Radiant,Skywrath Mage,5
708,5235070741,0,True,2048,4,0,38,2020-02-09 17:52:19,21.0,3,1,12,1.0,0,5.0,1,Radiant,Beastmaster,1
762,5233477714,3,True,3741,4,0,103,2020-02-08 21:02:21,21.0,11,1,24,1.0,0,5.0,1,Radiant,Elder Titan,1
171,5233422285,3,False,2406,4,0,87,2020-02-08 20:10:02,21.0,3,7,16,1.0,0,5.0,0,Radiant,Disruptor,5
35,5233356383,3,False,2712,4,0,110,2020-02-08 19:13:22,21.0,11,8,21,1.0,0,5.0,0,Radiant,Phoenix,1
786,5231736045,132,False,2581,3,0,111,2020-02-07 22:12:44,21.0,3,3,14,1.0,0,3.0,1,Dire,Oracle,5
800,5231693841,132,True,2240,3,0,26,2020-02-07 21:21:52,21.0,1,7,6,2.0,0,3.0,0,Dire,Lion,5
294,5229954942,1,True,1918,4,0,37,2020-02-06 19:18:11,21.0,2,1,10,1.0,0,4.0,1,Radiant,Warlock,2
904,5228426355,130,True,2410,4,0,128,2020-02-05 19:52:56,21.0,5,2,9,1.0,0,5.0,0,Dire,Snapfire,5
905,5228366584,130,True,2851,3,0,45,2020-02-05 18:54:24,21.0,3,7,11,,0,5.0,0,Dire,Pugna,4
